a,1,a,a,あ,[A]h! There is a snake!,6CB22E,a/me/no
a,2,i,i,い,[e]ars,53C3C7,i/ko
a,3,u,u,う,[Wo]o! This is heavy.,FF5B57,u/ra/tsu
a,4,e,e,え,[e]xercise,FDBD0E,e/so
a,5,o,o,お,[o]n the green,8065D2,o/mu/a
k,1,ka,ka,か,[cu]p and spoon,6CB22E,
k,2,ki,ki,き,[ke]y,53C3C7,ki/sa/ma
k,3,ku,ku,く,[cu]ckoo’s  beak,FF5B57,ku/shi
k,4,ke,ke,け,[ca]ne,FDBD0E,ke/ha/ni
k,5,ko,ko,こ,[co]in,8065D2,ko/i
s,1,sa,sa,さ,[su]rfing,6CB22E,sa/ki/chi
s,2,shi,shi,し,[Sh]e has long hair.,53C3C7,shi/ku
s,3,su,su,す,[s]wimmimg,FF5B57,su/mu
s,4,se,se,せ,[sa]iling ,FDBD0E,
s,5,so,so,そ,[se]wing zig zag,8065D2,so/ro/N
t,1,ta,ta,た,[ta],6CB22E,ta/ni
t,2,chi,chi,ち,[che]er girl,53C3C7,chi/sa
t,3,tsu,tsu,つ,[tsu]nami,FF5B57,tsu/u
t,4,te,te,て,[ta]ble,FDBD0E,te/he
t,5,to,to,と,[to]e,8065D2,
n,1,na,na,な,[nu]ts,6CB22E,na/mu/ha
n,2,ni,ni,に,[kne]e,53C3C7,ni/ta/ko
n,3,nu,nu,ぬ,[no]odle with chopsticks,FF5B57,nu/me/ne
n,4,ne,ne,ね,[ne]t,FDBD0E,ne/wa/re
n,5,no,no,の,[NO] sign,8065D2,no/me/wa
h,1,ha,ha,は,[ha]mmer,6CB22E,ha/ho/ke
h,2,hi,hi,ひ,[He]e-hee-hee,53C3C7,
h,3,fu,fu,ふ,Mt.[Fu]ji,FF5B57,
h,4,he,he,へ,[hea]d,FDBD0E,he/ku/shi
h,5,ho,ho,ほ,[Ho]tel,8065D2,ho/ha/ma
m,1,ma,ma,ま,[mu]shrooms,6CB22E,ma/ho/yo
m,2,mi,mi,み,“Who is 21?” “ [Me]!”,53C3C7,
m,3,mu,mu,む,[mo]o,FF5B57,mu/o/me
m,4,me,me,め,[ma]ke pretzels,FDBD0E,me/nu/a
m,5,mo,mo,も,[mo]re fish,8065D2,mo/ma
y,1,ya,ya,や,[ya]cht,6CB22E,
y,2,,,,,,
y,3,yu,yu,ゆ,[U]-turn,FF5B57,yu/wa/me
y,4,,,,,,
y,5,yo,yo,よ,[yo]-yo,8065D2,yo/ma
r,1,ra,ra,ら,[l]ion,6CB22E,ra/chi
r,2,ri,ri,り,[li]sten,53C3C7,ri/i
r,3,ru,ru,る,[ru]by,FF5B57,ru/ro/so
r,4,re,re,れ,[Le]t’s wait another fish.,FDBD0E,re/ne/wa
r,5,ro,ro,ろ,[ro]bbed!,8065D2,ro/ru/chi
w,1,wa,wa,わ,[wo]rm around a stick,6CB22E,wa/re/ne
w,2,,,,,,
w,3,,,,,,
w,4,,,,,,
w,5,wo,(w)o,を,[O]h! I can ride a unicycle!,8065D2,
N,6,n,N,ん,‘[n]’ sound,B1BFC7,N/e/so
N,2,,,,,,
N,3,,,,,,
N,4,,,,,,
N,5,,,,,,
